,bdi,chibor_1M,chibor_1Y,chibor_1w,chibor_2M,chibor_2w,chibor_3M,chibor_3w,chibor_4M,chibor_6M,chibor_9M,chibor_on,cpi,date,end_investor_num,foreign_exchange_reserve,gdp,gold_reserve,instrument,m0,m1,m2,new_investors_num,pmi,ppi
0,4598.0,,,,,,,,,,,,2.4,2005-01-01,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
1,4598.0,,,,,,,,,,,,2.4,2005-01-02,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
2,4598.0,,,,,,,,,,,,2.4,2005-01-03,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
3,4456.0,,,,,,,,,,,,2.4,2005-01-04,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
4,4395.0,,,,,,,,,,,,2.4,2005-01-05,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
5,4405.0,,,,,,,,,,,,2.4,2005-01-06,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
6,4485.0,,,,,,,,,,,,2.4,2005-01-07,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
7,4485.0,,,,,,,,,,,,2.4,2005-01-08,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
8,4485.0,,,,,,,,,,,,2.4,2005-01-09,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
9,4627.0,,,,,,,,,,,,2.4,2005-01-10,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
10,4726.0,,,,,,,,,,,,2.4,2005-01-11,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
11,4776.0,,,,,,,,,,,,2.4,2005-01-12,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
12,4774.0,,,,,,,,,,,,2.4,2005-01-13,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
13,4721.0,,,,,,,,,,,,2.4,2005-01-14,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
14,4721.0,,,,,,,,,,,,2.4,2005-01-15,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
15,4721.0,,,,,,,,,,,,2.4,2005-01-16,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
16,4668.0,,,,,,,,,,,,2.4,2005-01-17,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
17,4591.0,,,,,,,,,,,,2.4,2005-01-18,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
18,4471.0,,,,,,,,,,,,2.4,2005-01-19,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
19,4358.0,,,,,,,,,,,,2.4,2005-01-20,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
20,4301.0,,,,,,,,,,,,2.4,2005-01-21,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
21,4301.0,,,,,,,,,,,,2.4,2005-01-22,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
22,4301.0,,,,,,,,,,,,2.4,2005-01-23,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
23,4292.0,,,,,,,,,,,,2.4,2005-01-24,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
24,4307.0,,,,,,,,,,,,2.4,2005-01-25,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
25,4340.0,,,,,,,,,,,,2.4,2005-01-26,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
26,4396.0,,,,,,,,,,,,2.4,2005-01-27,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
27,4461.0,,,,,,,,,,,,2.4,2005-01-28,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
28,4461.0,,,,,,,,,,,,2.4,2005-01-29,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
29,4461.0,,,,,,,,,,,,2.4,2005-01-30,,6099.32,8.8,1929.0,MACRO_DATA.CN,8.7,13.6,14.6,,,7.1
30,4488.0,,,,,,,,,,,,1.9,2005-01-31,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
31,4470.0,,,,,,,,,,,,1.9,2005-02-01,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
32,4408.0,,,,,,,,,,,,1.9,2005-02-02,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
33,4313.0,,,,,,,,,,,,1.9,2005-02-03,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
34,4246.0,,,,,,,,,,,,1.9,2005-02-04,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
35,4246.0,,,,,,,,,,,,1.9,2005-02-05,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
36,4246.0,,,,,,,,,,,,1.9,2005-02-06,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
37,4192.0,,,,,,,,,,,,1.9,2005-02-07,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
38,4175.0,,,,,,,,,,,,1.9,2005-02-08,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
39,4223.0,,,,,,,,,,,,1.9,2005-02-09,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
40,4320.0,,,,,,,,,,,,1.9,2005-02-10,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
41,4378.0,,,,,,,,,,,,1.9,2005-02-11,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
42,4378.0,,,,,,,,,,,,1.9,2005-02-12,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
43,4378.0,,,,,,,,,,,,1.9,2005-02-13,,6236.46,8.8,1929.0,MACRO_DATA.CN,7.75,15.32,14.13,,54.7,5.8
