,date,return_pre,return_pre7,outcome,limit_return,prediction
0,2020-03-02 14:50:00+08:00,[-0.00287096],"[[-0.0046798 ]
 [-0.00382892]
 [-0.00287096]]",,0.0,-1.0
0,2020-03-03 14:50:00+08:00,[0.00314822],"[[0.00113985]
 [0.00203369]
 [0.00314822]]",,0.0,0.0
0,2020-03-04 14:50:00+08:00,[0.00058454],"[[-0.00164063]
 [-0.00015565]
 [ 0.00058454]]",,0.0,0.0
0,2020-03-05 14:50:00+08:00,[0.00335559],"[[0.00252537]
 [0.00332186]
 [0.00335559]]",,0.9992355592796115,1.0
0,2020-03-06 14:50:00+08:00,[0.00744776],"[[0.00757902]
 [0.00772968]
 [0.00744776]]",,0.9992355592796115,1.0
0,2020-03-09 14:50:00+08:00,[0.00668959],"[[0.00898653]
 [0.00807405]
 [0.00668959]]",,0.9992355592796115,1.0
0,2020-03-10 14:50:00+08:00,[-0.00166476],"[[ 1.5340112e-03]
 [ 7.1488321e-06]
 [-1.6647615e-03]]",,0.0,0.0
0,2020-03-11 14:50:00+08:00,[-0.00330857],"[[-0.00101925]
 [-0.00253127]
 [-0.00330857]]",,0.0,0.0
0,2020-03-12 14:50:00+08:00,[-0.00383511],"[[-0.00252265]
 [-0.00349274]
 [-0.00383511]]",,0.0,-1.0
0,2020-03-13 14:50:00+08:00,[-0.00372159],"[[-0.00286047]
 [-0.00339097]
 [-0.00372159]]",,0.0,-1.0
0,2020-03-16 14:50:00+08:00,[-0.00199611],"[[-0.00258414]
 [-0.00225676]
 [-0.00199611]]",,0.0,0.0
0,2020-03-17 14:50:00+08:00,[-0.01017416],"[[-0.01115339]
 [-0.01098093]
 [-0.01017416]]",,0.0,-1.0
0,2020-03-18 14:50:00+08:00,[-0.01963783],"[[-0.02133362]
 [-0.02067398]
 [-0.01963783]]",,0.0,-1.0
0,2020-03-19 14:50:00+08:00,[-0.0254798],"[[-0.023756  ]
 [-0.02522639]
 [-0.0254798 ]]",,0.0,-1.0
0,2020-03-20 14:50:00+08:00,[-0.01292193],"[[-0.01766356]
 [-0.01561738]
 [-0.01292193]]",,0.0,-1.0
0,2020-03-23 14:50:00+08:00,[-0.00338937],"[[-0.00966049]
 [-0.00651745]
 [-0.00338937]]",,0.0,-1.0
0,2020-03-24 14:50:00+08:00,[-0.00345456],"[[-0.00815157]
 [-0.00577027]
 [-0.00345456]]",,0.0,-1.0
0,2020-03-25 14:50:00+08:00,[0.00204711],"[[-0.00345618]
 [-0.00045393]
 [ 0.00204711]]",,0.0,0.0
0,2020-03-26 14:50:00+08:00,[0.00904052],"[[0.00579603]
 [0.00768173]
 [0.00904052]]",,0.9992355592796115,1.0
0,2020-03-27 14:50:00+08:00,[0.01357779],"[[0.01066105]
 [0.01255824]
 [0.01357779]]",,0.9992355592796115,1.0
