T,Score
1,0.04204162267107189
2,0.8155145181746306
3,1.1333788350818481
4,1.3737688999861284
5,1.4321029776674936
6,1.5111236961777086
7,1.5444570153278676
8,1.5924583790477147
9,1.6657878768857364
10,1.669820886242437
11,1.7351656167445642
12,1.6728614540997981
13,1.7415408687164962
14,1.6439436885865457
15,1.6839240440834067
16,1.73828125
17,1.7211371551470027
18,1.7061167336437426
19,1.752416243963187
20,1.7809060265731518
21,1.7386458857047091
22,1.7393707847878004
23,1.7286356425171867
24,1.8290446386395842
25,1.8366633549307276
26,1.7825593886146491
27,1.8073993039604188
28,1.698125045404413
29,1.8084164341178313
30,1.6175579248973744
