T,Score
1,0.8507919207057462
2,1.1981524132428474
3,1.5837855986965952
4,1.4478256346233875
5,1.5104955024813895
6,1.682370293983399
7,1.6145914745793857
8,1.6652774047281946
9,1.754810676598386
10,1.7209795059425592
11,1.7518966334755808
12,1.807536924097909
13,1.7672169829119384
14,1.759990253411306
15,1.794598230454804
16,1.7729754704301075
17,1.7512500409402056
18,1.7979588119443086
19,1.8038088874039426
20,1.8171773206161101
21,1.8279256146903204
22,1.8231911764270683
23,1.838436453375639
24,1.8578294756731224
25,1.853379494462493
26,1.8351357566555258
27,1.8096566403035341
28,1.770511237179445
29,1.7316336430650436
30,1.6628646995619472
